ExtendedSessionID,ResponseID,UserID,Review_gender,Review_age,Review_ageBracket,Review_income,Review_ContinuousIncome,IncomeBracketSmall,Review_education,Review_educationBracket,Review_political,Review_religious,ScenarioOrder,Intervention,PedPed,Barrier,CrossingSignal,AttributeLevel,ScenarioTypeStrict,ScenarioType,DefaultChoice,NonDefaultChoice,DefaultChoiceIsOmission,NumberOfCharacters,DiffNumberOFCharacters,Saved,Template,DescriptionShown,LeftHand,UserCountry3,Man,Woman,Pregnant,Stroller,OldMan,OldWoman,Boy,Girl,Homeless,LargeWoman,LargeMan,Criminal,MaleExecutive,FemaleExecutive,FemaleAthlete,MaleAthlete,FemaleDoctor,MaleDoctor,Dog,Cat,gpt35turbo0125_wp_Saved,gpt4o_wp_Saved,gpt4turbo_wp_Saved,weights
-2146351809_5371561028316529.0,4BcEoFnJFr32fF3Cm,5371561028316530,Man,56,55-64,35000,42500,"$25,001-
$50,000",high,High school,50,0,10,0,1,0,1,Less,Utilitarian,Utilitarian,More,Less,0,3,2,0,Desktop,0,0,USA,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,10.416666666666666
-2146351809_5371561028316529.0,4BcEoFnJFr32fF3Cm,5371561028316530,Man,56,55-64,35000,42500,"$25,001-
$50,000",high,High school,50,0,10,1,1,0,2,More,Utilitarian,Utilitarian,More,Less,0,5,2,1,Desktop,0,1,USA,0,0,0,1,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,1,0,0,10.416666666666666
-2146351809_5371561028316529.0,8oCKQGzdRGw8wRS5g,5371561028316530,Man,56,55-64,35000,42500,"$25,001-
$50,000",high,High school,50,0,9,0,1,0,2,Hoomans,Species,Species,Hoomans,Pets,1,4,0,1,Desktop,0,1,USA,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,6.510416666666667
-2146351809_5371561028316529.0,8oCKQGzdRGw8wRS5g,5371561028316530,Man,56,55-64,35000,42500,"$25,001-
$50,000",high,High school,50,0,9,1,1,0,1,Pets,Species,Species,Hoomans,Pets,1,4,0,0,Desktop,0,0,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,6.510416666666667
-2146351809_5371561028316529.0,JeECaPsBrWePcdCwi,5371561028316530,Man,56,55-64,35000,42500,"$25,001-
$50,000",high,High school,50,0,1,0,0,0,0,Fat,Fitness,Fitness,Fit,Fat,0,1,0,1,Desktop,0,1,USA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6.510416666666667
-2146351809_5371561028316529.0,JeECaPsBrWePcdCwi,5371561028316530,Man,56,55-64,35000,42500,"$25,001-
$50,000",high,High school,50,0,1,1,0,1,0,Fit,Fitness,Fitness,Fit,Fat,0,1,0,0,Desktop,0,0,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3.125
-2146351809_5371561028316529.0,T8bRd4RPZ4ZRRbe2n,5371561028316530,Man,56,55-64,35000,42500,"$25,001-
$50,000",high,High school,50,0,8,0,0,1,0,Rand,Random,Random,NA,NA,NA,5,2,0,Desktop,0,0,USA,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,1,0,1,0,0,5
-2146351809_5371561028316529.0,T8bRd4RPZ4ZRRbe2n,5371561028316530,Man,56,55-64,35000,42500,"$25,001-
$50,000",high,High school,50,0,8,1,0,0,2,Rand,Random,Random,NA,NA,NA,3,2,1,Desktop,0,1,USA,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,15.625
-2146351809_5371561028316529.0,TjjSZRDC7pJXBfytH,5371561028316530,Man,56,55-64,35000,42500,"$25,001-
$50,000",high,High school,50,0,3,0,1,0,2,Female,Gender,Gender,Male,Female,0,3,0,1,Desktop,0,0,USA,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.510416666666667
-2146351809_5371561028316529.0,TjjSZRDC7pJXBfytH,5371561028316530,Man,56,55-64,35000,42500,"$25,001-
$50,000",high,High school,50,0,3,1,1,0,1,Male,Gender,Gender,Male,Female,0,3,0,0,Desktop,0,1,USA,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,6.510416666666667
